Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene14152	62.3646504996012	-2.09205854904477	1.29888159426999	-1.61066147851651	0.10725352610959	1	6	7	29	432	12	3	22	81
gbgene14432	186.712875048042	2.19663368999936	1.12923552835654	1.94523961993675	0.0517461454070139	1	57	58	96	68	30	882	57	45
gbgene14472	13.1188445765425	-2.13951281222853	1.3729479265407	-1.55833500373119	0.119153855350089	1	6	58	5	0	2	5	10	4
gbgene14490	1631.29025843728	2.61913466400946	1.14334754145504	2.29075986875898	0.0219773058795391	1	224	74	918	817	644	191	12553	899
gbgene14540	184.569669445878	4.04401500895197	1.99173556148661	2.03039755234051	0.0423161452662339	1	88	14	0	1	1126	1	58	1
gbgene14715	280.71206593096	-2.64485667254253	1.573983926498	-1.68035812057315	0.0928876591211201	1	6	2	1952	76	15	82	221	27
gbgene14933	52.2406203928472	1.60606296027604	1.31428663344203	1.22200357167893	0.221706276317299	1	1	72	5	4	25	171	51	40
gbgene14998	18.9015411112621	-3.9604086051095	1.88717133413286	-2.09859514792242	0.0358526044501946	1	0	4	6	156	0	3	7	0
gbgene15011	2265.79779963676	1.7582093847167	1.55056108166599	1.13391817033587	0.256828874480621	1	59	30	1251	3400	102	10341	838	233
gbgene15250	167.56422364167	0.884123764255231	2.06143383677811	0.428887771453804	0.66800489982393	1	4	0	474	18	653	0	49	70
gbgene15455	10.4170894115347	2.29211794431141	1.23227382345671	1.8600719261257	0.0628753504773163	1	5	4	1	5	50	1	3	8
gbgene15593	15.6895711956856	-2.0653921187504	1.09307684522175	-1.88952142548715	0.0588219946330749	1	12	63	5	6	5	1	13	9
gbgene15756	21.9672820032876	-3.16144478801543	1.87249887967969	-1.68835603712416	0.0913429042539944	1	208	0	4	1	1	0	3	19
gbgene15816	96.1703562365252	-1.50717636932623	0.989956069951303	-1.5224679307238	0.127891874959024	1	31	358	34	50	21	54	52	91
gbgene15863	39.8447063709553	-1.27858011036792	0.857078916584495	-1.49178807881908	0.135754710096038	1	229	20	13	21	17	18	33	34
gbgene15892	17.5796093940394	-1.82943853240993	1.76879855478364	-1.03428314516783	0.301003814020956	1	0	2	4	123	8	0	26	2
gbgene15914	58.9078044042682	-1.73002722268002	0.965645066287034	-1.79157672221335	0.07320079465334	1	27	217	37	25	7	31	37	45
gbgene15967	43.5271764508131	-1.14733571039164	0.892810948621958	-1.28508248264937	0.198763462257106	1	249	8	19	32	26	26	26	34
gbgene16028	325.27552503556	0.277421667311515	0.801830866938759	0.345985267904014	0.72935378632021	1	290	169	476	338	89	812	236	156
gbgene16060	267.321367898707	-2.8344041005012	1.34864090265903	-2.10167443009683	0.0355818049440477	1	35	1346	73	6	44	88	54	79
gbgene16176	25.3928186972396	-7.44478977439645	2.02497086515593	-3.67649229058077	0.000236462998006158	1	265	3	2	1	0	0	0	1
gbgene16227	300.572212673816	0.0991146944901248	1.22983824293341	0.0805916510237283	0.935766706125479	1	239	98	295	682	925	4	77	101
gbgene16305	2757.21603703917	-0.616289913885503	0.711152570248508	-0.866607166546757	0.386157285529955	1	2528	6824	1208	1583	1974	1514	3269	2646
gbgene16372	2793.23768866281	1.5203959578518	1.65171244314175	0.920496763322692	0.357313223648339	1	18	55	4721	1403	252	12083	1273	55
gbgene16562	41.5909174789759	4.08075662888295	1.51662478990621	2.69068305888321	0.00713059022690832	1	16	3	1	2	1	239	10	5
gbgene17007	12.05731188175	-4.07917713793503	1.9706573719161	-2.06995756647883	0.0384563183281287	1	118	3	0	0	2	0	1	3
gbgene17254	9.47545532264298	4.30170751990641	1.58246323959208	2.71836173648828	0.00656060688825713	1	2	1	0	1	1	52	6	1
gbgene17281	170.482535155643	1.2502257015224	0.826454485688693	1.51275808065894	0.130341120390426	1	97	89	155	79	84	560	102	102
gbgene17410	64.736910163181	-2.45416075479202	1.20776493825033	-2.03198542784933	0.0421551311910279	1	13	3	30	471	19	9	36	25
gbgene17530	12.9905725825502	-2.77768712457777	1.63306043506245	-1.70090895899486	0.0889600840596309	1	108	0	5	7	1	8	0	3
gbgene17571	71.2815917623516	1.56535792890478	0.798521754354298	1.96031970371372	0.0499584344283802	1	47	18	54	40	254	41	49	46
gbgene17619	302.213908978565	-0.0424665110162237	1.31406697158634	-0.0323168544179738	0.974219368343	1	75	67	28	1257	42	38	1324	116
gbgene17639	8.96217706347294	-3.18256251669365	1.8975055107878	-1.67723492690797	0.0934965517045314	1	6	0	63	0	0	2	5	1
gbgene17757	32.2824241695438	4.49714491666728	1.4224716795099	3.1615004934346	0.00156958552500472	1	1	1	4	6	5	1	303	13
gbgene17897	69.6398137359885	-8.27496212222952	2.39148671061646	-3.46017482994771	0.000539824777660429	1	7	416	2	0	0	0	0	2
gbgene17898	144.325759632099	2.38075533509396	0.970331305149836	2.45354892958578	0.0141454293774133	1	47	37	30	88	62	32	1045	80
gbgene18153	256.331746983773	-0.225411370284154	0.730931671796315	-0.308389113486066	0.757786264758931	1	395	199	226	398	98	510	153	93
