Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene581	29833	14850	8066	13981	11511	5	19222	19259
gbgene582	7	5	6	3	1	0	1	9
gbgene583	464	253	187	571	214	8	405	359
gbgene584	0	0	0	0	0	0	0	0
gbgene585	0	0	0	0	0	0	0	0
gbgene586	28	30	73	35	42	85	52	60
gbgene587	0	0	3	6	5	8	7	11
gbgene588	763	306	166	206	138	52	260	236
gbgene589	1270	731	370	346	247	574	580	312
gbgene590	0	0	0	0	0	0	0	0
gbgene591	0	0	1	1	0	0	2	3
gbgene592	374	143	87	202	142	16	243	208
gbgene593	50151	29596	28467	24353	18212	19601	37754	34845
gbgene594	1	1	0	0	0	0	1	0
gbgene595	1640	1042	2292	1244	475	1764	1803	1710
gbgene596	0	1	0	0	0	0	0	0
gbgene597	7981	4356	2270	2181	2809	3	3861	5821
gbgene598	244	14	5	95	29	69	12	3
gbgene599	33	15	28	73	26	20	76	35
gbgene600	0	0	0	0	0	0	0	0
gbgene601	33	63	1392	688	283	847	415	609
gbgene602	5679	2900	2728	5203	3310	612	5242	5694
gbgene603	52	43	26	12	346	34	622	75
gbgene604	10	5	21	21	17	20	42	41
gbgene605	68609	23741	100472	105426	58446	97732	70754	71913
gbgene606	55	16	178	223	41	78	23	103
gbgene607	1550	719	1319	1042	752	1927	1241	997
gbgene608	88	43	211	117	78	233	155	138
gbgene609	1344	667	772	1300	694	433	1145	1341
gbgene610	2502	1416	3373	4257	2139	2378	3317	3354
gbgene611	2418	1093	1065	1433	1217	368	1687	1756
gbgene612	296	266	1745	1314	733	1952	1628	1190
gbgene613	4709	2991	15434	9940	4573	15282	9360	14606
gbgene614	573	243	183	396	410	61	440	439
gbgene615	334	174	112	46	56	151	132	111
gbgene616	331	249	191	264	196	61	305	346
gbgene617	0	0	0	0	0	0	0	0
gbgene618	11755	6640	3607	5835	5175	4	7876	8680
gbgene619	142	86	152	273	233	1	655	363
gbgene620	330	169	234	245	218	47	296	316
gbgene621	672	293	229	529	421	1	714	648
gbgene622	1604	573	775	835	711	709	1007	1016
gbgene623	5453	2552	2510	3943	2951	1275	4413	5042
gbgene624	133	82	193	193	131	60	189	151
gbgene625	726	392	406	299	332	358	657	425
gbgene626	3372	1242	1112	2047	1410	291	2468	2180
gbgene627	1418	724	617	1317	917	1	1570	1565
gbgene628	557	268	153	268	118	146	215	264
gbgene629	2618	1298	2624	2097	1762	2808	2361	3254
gbgene630	5338	2423	1662	3226	2673	535	3140	3853
gbgene631	1203	708	1197	1095	604	866	1274	1142
gbgene632	28	10	11	25	24	8	39	28
gbgene633	2	0	0	0	0	0	0	2
gbgene634	2	2	0	0	2	0	0	0
gbgene635	3495	1714	731	1100	926	1	1376	1459
gbgene636	171	145	121	103	53	84	93	114
gbgene637	0	2	0	0	0	0	0	0
gbgene638	0	0	1	0	0	0	0	0
gbgene639	0	0	0	0	0	0	0	0
gbgene640	0	0	0	0	0	0	0	0
gbgene641	0	0	0	0	0	0	0	0
gbgene642	4399	2193	2815	3675	3236	1675	4398	4418
gbgene643	399	195	219	288	224	269	352	225
gbgene644	4620	2988	3639	3368	2640	3800	3652	4170
gbgene645	211	179	204	216	174	375	256	192
gbgene646	949	1969	2910	4042	6111	5519	2981	17622
gbgene647	1150	700	695	1570	1078	120	1578	1587
gbgene648	0	0	0	0	1	4	0	0
gbgene649	2700	1562	1969	2479	2747	5984	3937	2425
gbgene650	217	97	211	114	65	288	183	145
gbgene651	15	5	2	2	4	6	0	6
gbgene652	1	105	1	2	0	0	1	0
gbgene653	7542	4149	1368	2616	2404	3	4448	4056
gbgene654	214	62	117	165	99	69	151	132
gbgene655	3829	1915	2759	3770	2363	2880	3873	3475
gbgene656	73	111	128	114	49	83	109	96
gbgene657	32772	15391	7511	12197	8594	1	13779	15606
gbgene658	32082	14605	6067	11996	7247	8	11771	15457
gbgene659	2381	911	481	983	628	2	1183	1759
gbgene660	3595	1961	661	1715	1217	4	1653	2805
gbgene661	410	268	274	413	269	375	443	394
gbgene662	2162	1078	929	1643	1085	165	1827	1835
gbgene663	533	186	408	514	390	303	590	743
gbgene664	15	1	27	7	10	11	6	13
gbgene665	1308	377	457	952	963	37	1368	1137
gbgene666	843	338	1588	1594	1563	2981	3581	2380
gbgene667	274	192	147	105	76	259	108	78
gbgene668	729	363	582	1613	461	193	1090	1024
gbgene669	0	0	0	0	0	1	0	0
gbgene670	2	5	25	13	8	33	17	26
gbgene671	230	108	34	81	85	1	95	99
gbgene672	483	415	331	311	301	297	545	360
gbgene673	0	0	0	0	0	0	0	0
gbgene674	442	464	1443	1419	1430	2439	663	390
gbgene675	0	0	7	6	0	0	1	1
gbgene676	16	18	19	15	3	19	17	17
gbgene677	5	0	0	0	0	0	0	0
gbgene678	413	417	1141	563	253	1042	773	736
gbgene679	0	0	0	0	0	0	0	5
gbgene680	0	0	0	0	0	0	0	0
gbgene681	3	5	4	30	8	0	10	16
gbgene682	0	0	0	0	0	0	0	0
gbgene683	0	0	0	0	0	0	0	0
gbgene684	0	0	0	0	0	0	0	0
gbgene685	766	274	202	357	182	128	224	215
gbgene686	3465	1741	1437	3670	2069	311	3169	2858
gbgene687	1172	745	1032	802	589	709	853	1069
gbgene688	921	179	385	233	166	323	199	330
gbgene689	1158	432	1555	1597	1073	1078	1510	1858
gbgene690	8320	7605	3437	6704	6342	464	9482	10032
gbgene691	50	9	14	102	35	10	11	66
gbgene692	63870	38866	70126	53596	37418	93821	70771	58161
gbgene693	230	211	260	130	105	155	169	198
gbgene694	215	121	260	243	126	192	232	351
gbgene695	494	236	359	286	247	296	434	450
gbgene696	548	265	614	702	421	434	689	616
gbgene697	1455	1043	1202	1384	792	1014	1303	1121
gbgene698	2403	1751	1416	1381	1190	1734	1887	2055
gbgene699	133121	72914	28730	48445	39162	358	59478	62583
gbgene700	1829	1191	805	2092	1281	86	1958	1693
gbgene701	45	54	86	187	122	268	76	39
gbgene702	1496	761	1183	1067	674	1427	1074	1518
gbgene703	222	112	150	197	179	215	251	334
gbgene704	0	0	0	0	0	0	0	0
gbgene705	4594	3199	1124	2286	1737	2	2720	2422
gbgene706	15	25	9	20	8	6	4	5
gbgene707	497	123	219	253	146	147	354	344
gbgene708	0	0	0	0	0	1	0	0
gbgene709	311	396	274	92	94	111	147	266
gbgene710	3	2	2	5	2	0	1	4
gbgene711	0	0	0	0	0	0	0	0
gbgene712	60	71	33	8	11	21	21	60
gbgene713	366	230	368	489	288	460	318	321
gbgene714	24	24	38	25	23	17	63	42
gbgene715	26082	13592	18123	16328	13474	19869	18273	24135
gbgene716	0	0	4	4	0	0	0	0
gbgene717	3109	878	1119	2530	1580	432	1333	1920
gbgene718	71457	36272	16150	24399	21490	15	34518	36952
gbgene719	82	23	136	75	20	105	82	100
gbgene720	788	587	302	602	388	94	543	673
gbgene721	279	140	247	181	143	147	274	300
gbgene722	779	434	526	358	374	596	665	797
gbgene723	1428	869	873	841	1278	1763	1785	1158
gbgene724	1049	429	1100	1274	854	1119	1411	1289
gbgene725	3144	1500	1070	2668	1510	5	2400	2293
gbgene726	18214	9981	7926	10830	8417	2716	12571	15033
gbgene727	1050	578	873	1280	1047	523	1177	1564
gbgene728	730	247	312	540	425	172	528	614
gbgene729	6090	3113	1699	4291	3328	8	4495	4350
gbgene730	1410	882	1325	1226	949	1475	1318	1596
gbgene731	1466	685	427	840	665	117	1084	1114
gbgene732	632	218	359	407	247	243	472	495
gbgene733	384	238	379	425	199	348	357	353
gbgene734	20628	14527	20743	18491	19863	25644	26356	19405
gbgene735	8003	4228	5799	6116	4184	7168	7825	6054
gbgene736	87	76	108	62	79	63	123	141
gbgene737	233	554	481	354	164	266	299	520
gbgene738	4548	2651	4773	4480	3224	5523	5613	5213
gbgene739	897	256	412	1059	821	154	1382	1135
gbgene740	28	10	61	41	23	56	59	54
gbgene741	683	206	342	760	865	116	1045	849
gbgene742	349	107	258	403	231	78	323	366
gbgene743	1733	840	1110	1413	1215	807	1691	1790
gbgene744	2279	1045	904	1742	1242	365	1919	1867
gbgene745	2391	1337	839	1527	1003	189	1746	1564
gbgene746	1289	611	981	1057	851	462	1557	1336
gbgene747	254	80	215	358	279	69	296	320
gbgene748	19418	9352	4470	9121	6365	219	8905	9936
gbgene749	292	186	717	562	329	432	435	697
gbgene750	458	314	313	301	217	317	308	432
gbgene751	221	181	225	255	143	188	240	235
gbgene752	1045	538	931	809	646	1169	1267	1105
gbgene753	4090	1596	2082	2505	2242	477	4075	4378
gbgene754	44	39	225	187	73	202	120	128
gbgene755	182	44	466	284	384	437	415	266
gbgene756	3819	1707	2964	3031	2657	3563	3561	3113
gbgene757	127	95	2	1	7	3	11	2
gbgene758	5	0	0	0	0	0	0	0
gbgene759	14471	14972	498	403	4332	977	4505	1078
gbgene760	1	0	0	0	0	0	0	0
gbgene761	1	0	0	0	0	0	0	0
gbgene762	217	97	66	53	26	42	73	59
gbgene763	1	1	0	0	0	0	0	0
gbgene764	11	8	3	13	5	0	5	4
gbgene765	11	8	12	26	26	1	25	37
gbgene766	0	0	0	0	0	0	0	0
gbgene767	1185	409	436	882	634	42	871	837
gbgene768	0	0	0	0	0	0	0	0
gbgene769	283	123	185	84	136	304	149	94
gbgene770	8	1	11	22	34	12	17	59
gbgene771	0	0	1	0	0	0	0	0
gbgene772	110	36	10	15	234	183	355	164
gbgene773	4916	2145	2287	4715	2851	359	4451	3931
gbgene774	412	174	280	289	219	243	390	474
gbgene775	249	98	225	365	250	120	470	370
gbgene776	5751	2242	4284	4740	3234	3512	5532	5937
gbgene777	435	146	324	371	282	223	437	496
gbgene778	727	333	626	755	597	402	1004	884
gbgene779	716	30296	605	44	23	10	94	21
gbgene780	114545	61099	24668	38967	34899	16	52545	60306
gbgene781	1	7	0	5	3	3	1	2
gbgene782	66	31	39	80	57	30	99	101
gbgene783	2	0	0	0	0	0	0	0
gbgene784	0	0	0	0	0	0	0	0
gbgene785	0	0	0	0	0	0	0	0
gbgene786	0	0	0	0	0	0	0	0
gbgene787	5866	4688	6890	4083	2176	6694	5382	5584
gbgene788	1639	712	1233	1352	1061	1295	1449	2853
gbgene789	1749	797	703	1158	791	692	1008	1245
gbgene790	0	0	1	2	1	0	2	0
gbgene791	335	272	156	243	205	149	238	264
gbgene792	1330	729	807	893	723	931	1115	1052
gbgene793	31	7	10	11	9	22	9	16
gbgene794	0	4	1	0	0	1	1	0
gbgene795	714	278	832	900	491	651	784	1929
gbgene796	130	119	163	160	80	245	164	109
gbgene797	26527	14405	6340	13860	9004	4	13672	14252
gbgene798	3	11	16	9	12	18	29	14
gbgene799	468	208	631	420	328	922	606	385
gbgene800	0	0	0	0	0	0	0	0
gbgene801	0	0	0	0	0	0	0	0
gbgene802	404	277	336	594	461	83	737	680
gbgene803	53	61	502	687	167	401	208	20
gbgene804	168	222	60	44	14	116	40	52
gbgene805	589	295	342	625	576	82	929	457
gbgene806	252	133	348	375	227	254	478	344
gbgene807	12	34	43	29	54	0	131	209
gbgene808	475	195	255	312	245	198	389	344
gbgene809	397	527	1574	1145	1011	1329	1205	1110
gbgene810	58	97	12	32	9	40	38	89
gbgene811	3178	1782	1017	2154	1665	0	2510	2071
gbgene812	2	1	12	43	12	18	14	23
gbgene813	0	5	7	14	62	12	19	6
gbgene814	19	7	0	1	1	1	5	5
gbgene815	2	0	0	0	0	1	2	0
gbgene816	1041	682	850	1171	753	424	1330	1431
gbgene817	68	40	195	213	110	177	38	83
gbgene818	0	0	0	0	0	0	0	1
gbgene819	4243	2414	2694	2214	1537	4668	2859	3563
gbgene820	135617	74080	33920	54863	41894	49	64031	74051
gbgene821	966	466	961	1051	758	941	1219	1901
gbgene822	1506	383	344	866	634	80	947	896
gbgene823	2125	1491	1788	2465	1590	1547	2499	2906
gbgene824	2644	1755	1781	2134	1533	1817	2683	2144
gbgene825	45	24	78	245	109	21	158	203
gbgene826	1080	609	663	856	501	592	974	894
gbgene827	82672	63650	86619	69660	50110	102912	85261	82774
gbgene828	9216	4257	8327	9755	6373	6363	11114	11236
gbgene829	1327	850	1159	1496	932	543	1555	1988
gbgene830	1266	624	1210	1246	642	635	1129	1552
gbgene831	4583	1988	2048	3652	2669	791	3950	4035
gbgene832	25662	14560	8078	14703	11520	2258	18283	18215
gbgene833	15	12	16	21	7	1	9	22
gbgene834	3	2	2	10	19	0	15	17
gbgene835	7	2	1	2	11	0	30	16
gbgene836	0	0	0	0	0	0	0	0
gbgene837	6617	4304	7055	5274	3657	7378	5251	3859
gbgene838	0	0	251	242	0	168	7	100
gbgene839	213	39	11	69	39	0	45	90
gbgene840	704	416	104	295	130	13	205	275
gbgene841	0	0	0	1	0	0	0	0
gbgene842	0	0	0	0	0	0	0	0
gbgene843	156	99	168	380	122	61	283	335
gbgene844	12623	4808	14921	14659	21045	30837	21079	18068
gbgene845	1259	648	1057	1091	492	1197	864	1076
gbgene846	0	0	0	0	0	0	0	0
gbgene847	543	214	273	564	363	85	588	616
gbgene848	595	262	268	453	283	58	618	517
gbgene849	10635	6034	2756	4613	3964	6	5740	6060
gbgene850	649	460	624	536	298	826	499	408
gbgene851	2256	641	589	2230	1131	20	2187	1629
gbgene852	489	269	354	506	414	197	572	577
gbgene853	2619	1300	830	1623	1502	34	2323	2248
gbgene854	70843	44767	2630	2156	1097	1372	1214	1550
gbgene855	0	0	5	12	3	5	0	0
gbgene856	21048	8284	4573	8366	7169	3	10352	13913
gbgene857	571	165	791	379	18	125	28	166
gbgene858	0	0	2	0	0	0	0	0
gbgene859	9116	5376	1620	1301	91	527	405	979
gbgene860	120	41	48	113	80	5	124	115
gbgene861	543	425	416	243	302	318	358	571
gbgene862	0	0	0	0	0	0	0	0
gbgene863	2964	2467	1054	1036	1142	736	1643	2239
gbgene864	46	22	8	20	6	8	13	10
gbgene865	2071	626	3845	3828	1576	6404	2961	1259
gbgene866	594	220	426	288	192	1431	268	422
gbgene867	971	535	1677	1137	1150	1757	1911	579
gbgene868	14	4	2	21	21	7	18	15
gbgene869	38	34	1649	1736	689	2055	1068	2456
gbgene870	35	0	34	2	9	16	9	31
gbgene871	12290	7111	3477	7244	4961	8	7511	7869
gbgene872	533	46	111	366	286	262	255	913
gbgene873	300	77	587	791	1581	939	1257	1702
gbgene874	8812	3908	2743	4223	2211	1325	4996	5865
gbgene875	555	307	494	414	265	333	397	837
gbgene876	1090	543	508	457	495	332	767	571
gbgene877	2	26	1	0	5	0	4	2
gbgene878	28	13	12	12	9	4	15	26
gbgene879	357	166	147	202	144	103	259	315
gbgene880	1	0	0	42	39	0	0	74
gbgene881	476	345	690	711	379	380	757	740
gbgene882	40239	22263	17176	22783	22899	17986	31536	28107
gbgene883	56	9	26	12	286	131	547	100
gbgene884	453	365	70	38	441	259	753	138
gbgene885	34	43	75	66	38	107	63	45
gbgene886	473	291	611	448	339	816	538	420
gbgene887	7	0	0	10	1	0	11	4
gbgene888	261	123	3	7	75	11	90	24
gbgene889	45	19	79	60	18	54	78	58
gbgene890	0	0	0	0	5	0	0	20
gbgene891	17	27	43	24	47	31	45	13
gbgene892	29	0	0	1	5	0	3	1
gbgene893	0	0	1	0	0	0	1	1
gbgene894	96	64	111	117	26	124	79	86
gbgene895	158288	104107	39865	66731	61605	31	88548	99193
gbgene896	17238	8363	5460	10363	6790	5	10051	12644
gbgene897	0	1	0	0	0	0	0	0
gbgene898	15464	7804	7830	9022	74949	111488	111526	67807
gbgene899	8	1	3	9	6	20	15	17
gbgene900	74	39	58	27	4	76	22	3
gbgene901	34	27	172	130	85	95	76	115
gbgene902	347	139	158	258	201	8	399	371
gbgene903	0	1	18	55	128	1	52	64
gbgene904	0	0	10	24	27	1	33	37
gbgene905	104	66	70	36	47	82	146	66
gbgene906	0	0	0	0	0	0	0	1
gbgene907	92	27	135	16	8	0	110	14
gbgene908	46	30	38	37	30	16	39	59
gbgene909	9252	2472	1475	2474	1264	2	1995	2523
gbgene910	1553	787	609	934	758	155	1169	1173
gbgene911	375	269	241	250	216	75	268	364
gbgene912	87495	41461	19382	34645	26425	16	37558	45372
gbgene913	0	0	0	1	0	0	0	0
gbgene914	0	0	0	0	0	0	0	0
gbgene915	0	0	0	0	0	0	0	0
gbgene916	60	57	182	86	31	64	107	80
gbgene917	247	153	282	234	115	225	337	306
gbgene918	585	187	256	176	118	96	239	236
gbgene919	3962	1875	1316	2864	1813	0	2745	2886
gbgene920	0	0	0	0	0	0	0	0
gbgene921	1332	380	1653	3789	1384	637	2086	1963
gbgene922	343	189	70	39	179	512	314	33
gbgene923	29	20	30	21	13	33	25	38
gbgene924	0	0	0	0	0	0	0	0
gbgene925	1	1	0	0	0	0	1	0
gbgene926	2	0	0	1	0	1	0	0
gbgene927	0	0	0	0	1	0	0	0
gbgene928	196	62	84	74	40	87	83	84
gbgene929	238	2424	160	45	20	9	49	27
gbgene930	59	90	15	11	47	83	3	6
gbgene931	1062	769	974	701	437	755	676	845
gbgene932	274	232	109	45	84	78	132	148
gbgene933	0	0	0	0	1	0	0	0
gbgene934	0	0	0	0	0	0	0	0
gbgene935	0	1	0	0	4	0	0	1
gbgene936	0	1	0	0	0	0	0	0
gbgene937	899	25338	1807	41	61	29	268	17
gbgene938	47	112213	68	135	21	28	20	23
gbgene939	33	76	46	174	74	5	90	68
gbgene940	49	3695	23	10	2	4	6	1
gbgene941	1771	925	1398	1925	1306	1472	2237	2353
gbgene942	11825	5516	16730	14964	7402	11323	12310	16406
gbgene943	872	457	429	676	525	374	763	703
gbgene944	1406	635	1124	1103	1178	1150	1412	1230
gbgene945	772	623	515	514	318	500	546	422
gbgene946	140	97	167	163	123	294	199	113
gbgene947	35	5	9	57	57	1	28	74
gbgene948	0	0	0	0	0	0	0	0
gbgene949	1024	93	377	426	555	24	954	1246
gbgene950	1002	474	288	618	392	30	688	714
gbgene951	1087	596	380	479	553	95	830	913
gbgene952	0	0	0	0	0	0	0	0
gbgene953	0	0	0	0	0	0	0	0
gbgene954	13	14	15	12	14	6	23	24
gbgene955	13859	8382	3288	5216	5202	1	7334	8785
gbgene956	29863	18809	9364	15103	13637	10	22100	26103
gbgene957	0	0	0	0	0	0	0	0
gbgene958	49	30	75	170	69	10	142	69
gbgene959	2	2	46	31	28	52	40	24
gbgene960	722	455	306	396	260	420	342	440
gbgene961	71	31	35	20	12	13	55	41
gbgene962	4	0	0	0	0	0	1	1
gbgene963	4	0	4	2	3	1	2	2
gbgene964	7	13	13	12	7	0	19	14
gbgene965	17	1	1	3	4	4	3	8
gbgene966	1929	1156	1108	1129	1203	1462	2137	1870
gbgene967	287	175	141	186	188	23	203	175
gbgene968	5142	2464	13233	4218	3217	7723	3261	2904
gbgene969	612	382	463	614	630	317	884	959
gbgene970	87	68	84	48	161	157	237	169
gbgene971	768	433	495	823	541	372	815	807
gbgene972	4	0	0	0	0	0	0	1
gbgene973	1591	475	598	840	743	494	1017	1311
gbgene974	4827	1332	1335	2672	2226	166	3408	3432
gbgene975	45	24	138	39	126	87	113	106
gbgene976	0	7	0	0	1	4	1	1
gbgene977	0	0	0	0	0	0	0	0
gbgene978	49	15	54	34	47	39	39	48
gbgene979	7	3	3	29	1	0	16	29
gbgene980	0	0	0	0	0	0	0	1
gbgene981	2457	1052	657	1390	1046	33	1704	1440
gbgene982	6432	3520	2139	5509	3663	3	5235	5110
gbgene983	80	20	35	71	41	30	64	70
gbgene984	201	84	409	253	169	368	264	348
gbgene985	4515	2448	2215	3066	2381	1302	3450	3399
gbgene986	149	233	70	5	125	100	264	26
gbgene987	2351	2248	379	2886	1249	3929	3553	6405
gbgene988	18	19	64	62	21	47	24	56
gbgene989	1281	242	310	524	409	385	597	490
gbgene990	5	0	5	1	0	8	9	6
gbgene991	1010	796	1201	1618	821	1254	818	202
gbgene992	0	0	0	0	0	0	0	0
gbgene993	0	0	0	0	0	2	0	0
gbgene994	0	0	0	0	0	0	0	0
gbgene995	0	0	0	0	0	0	0	0
gbgene996	0	17	0	0	0	0	0	0
gbgene997	3	0	0	4	0	1	0	2
gbgene998	532	169	219	392	240	126	372	416
gbgene999	48	15	29	52	15	53	35	19
gbgene1000	0	0	0	0	0	0	2	4
gbgene1001	812	515	567	402	309	554	568	472
gbgene1002	0	0	0	0	0	0	0	1
gbgene1003	23	10	153	158	48	80	48	140
gbgene1004	18102	10737	12586	12747	9827	13203	14559	15603
gbgene1005	391	154	245	221	197	122	297	375
gbgene1006	719	322	691	481	434	347	655	776
gbgene1007	16531	9415	12518	10296	8034	13127	11556	15673
gbgene1008	352	146	137	330	157	125	279	268
gbgene1009	1421	849	613	887	805	596	1308	1382
gbgene1010	24	20	22	38	39	12	43	40
gbgene1011	2	0	1	1	0	0	1	1
gbgene1012	0	0	9	8	0	1	0	0
gbgene1013	15	4	17	33	12	8	27	38
gbgene1014	501	166	1002	970	584	316	809	1070
gbgene1015	18	16	40	66	48	7	48	49
gbgene1016	12065	6780	3868	6032	5454	276	9087	10097
gbgene1017	1431	970	546	380	499	729	696	729
gbgene1018	4247	2784	2068	3441	2539	543	4353	3876
gbgene1019	0	0	0	1	0	0	0	0
gbgene1020	335	268	312	167	135	405	168	201
gbgene1021	108	64	58	216	33	4	58	36
gbgene1022	34	38	61	260	23	18	54	39
gbgene1023	1	8	0	0	0	1	0	0
gbgene1024	11	0	7	12	5	4	0	0
gbgene1025	6	0	0	0	0	0	2	3
gbgene1026	0	0	0	0	0	0	1	0
gbgene1027	84	79	100	93	38	96	60	59
gbgene1028	273	186	238	168	70	165	181	180
gbgene1029	19179	11203	15721	12080	6211	14408	12659	12232
gbgene1030	30	14	19	48	8	3	8	27
gbgene1031	5	5	1	1	0	5	2	5
gbgene1032	78	72	67	45	26	68	41	86
gbgene1033	18927	9422	11446	12301	9102	16236	10154	19833
gbgene1034	1134	314	146	443	358	7	447	480
gbgene1035	24	10	28	22	4	9	2	5
gbgene1036	18	45	68	24	11	99	42	57
gbgene1037	564	330	490	591	367	425	679	658
gbgene1038	451	212	249	347	234	191	394	381
gbgene1039	2330	1441	1139	1371	1139	685	1607	1414
gbgene1040	1294	459	618	1527	864	197	1359	1223
gbgene1041	11283	5900	11802	12428	8781	13025	13675	13653
gbgene1042	6651	3444	1577	3161	2539	4	4371	4818
gbgene1043	233	214	489	500	239	424	498	534
gbgene1044	1505	764	946	1199	1046	705	1678	1882
gbgene1045	65	106	84	99	62	58	84	63
gbgene1046	0	0	0	0	0	0	0	0
gbgene1047	6	2	9	3	9	20	24	39
gbgene1048	2	2	0	2	0	1	0	1
gbgene1049	156	161	75	78	73	147	85	81
gbgene1050	0	0	3	0	8	2	9	12
gbgene1051	23581	16241	5770	9463	10136	3	16109	16629
gbgene1052	0	0	0	0	0	0	0	0
gbgene1053	37	8	50	132	130	1	170	186
gbgene1054	1370	940	44	50	8026	714	9732	229
gbgene1055	0	0	0	0	0	0	0	0
gbgene1056	0	0	12	0	0	3	0	0
gbgene1057	2	0	10	1	0	2	1	4
gbgene1058	341	54	54	52	50	23	71	72
gbgene1059	1240	185	774	508	535	11	933	176
gbgene1060	7484	1703	3535	198	1221	1	3348	74
gbgene1061	52	54	112	63	26	123	37	18
gbgene1062	1398	570	1687	999	604	632	1076	1008
gbgene1063	260	186	376	484	316	186	515	529
gbgene1065	0	0	0	0	0	0	0	0
gbgene1064	87	68	103	116	76	115	100	95
gbgene1066	131	120	260	221	116	90	172	163
gbgene1067	1527	1177	2861	2373	1514	2145	2667	2477
gbgene1068	2517	1375	1812	1688	1287	1651	1869	2756
gbgene1069	36	29	36	55	55	116	86	49
gbgene1070	587	325	404	281	231	395	358	565
gbgene1071	413	156	476	383	196	504	380	420
gbgene1072	254	146	231	262	171	105	237	230
gbgene1073	450	206	175	316	305	0	437	423
gbgene1074	425	329	149	332	271	106	429	411
gbgene1075	176	124	51	67	2321	228	2141	102
gbgene1076	3	9	3	3	119	7	102	3
gbgene1077	106	77	144	105	182	32	119	122
gbgene1078	547	260	465	672	415	342	649	665
gbgene1079	1993	759	512	1161	952	13	1304	1292
gbgene1080	1487	596	384	337	5357	11468	10815	6389
gbgene1081	86	24	253	196	127	366	219	281
gbgene1082	467	136	107	175	130	90	174	198
gbgene1083	345	157	312	371	238	166	354	371
gbgene1084	684	243	252	430	259	234	430	384
gbgene1085	69	251	187	172	72	86	165	374
gbgene1086	44	28	20	28	28	6	43	52
gbgene1087	355	179	402	484	511	321	598	744
gbgene1088	54	24	31	68	34	41	74	70
gbgene1089	1536	925	834	1779	1393	51	2064	2095
gbgene1090	160976	68646	40065	59802	42419	26	59257	68132
gbgene1091	362	174	285	404	298	388	460	384
gbgene1092	82	82	126	9	6	11	0	13
gbgene1093	5	7	17	13	45	1	4	10
gbgene1094	13	15	58	32	83	5	17	19
gbgene1095	81	56	27	20	48	10	24	23
gbgene1096	16006	7381	1122	2129	2808	699	3921	2878
gbgene1097	94	15	407	647	184	608	288	389
gbgene1098	434	335	45	43	452	189	791	105
gbgene1099	7	2	6	9	1	13	10	10
gbgene1100	17	3	25	22	13	30	58	15
gbgene1101	0	0	0	0	0	0	0	1
gbgene1102	3	0	0	0	0	0	0	0
gbgene1103	0	0	11	30	9	0	9	4
gbgene1104	0	0	0	0	0	0	0	0
gbgene1105	0	0	0	0	0	0	0	0
gbgene1106	27	29	246	214	56	319	120	248
gbgene1107	129	107	345	350	172	744	326	643
gbgene1108	0	0	0	0	0	0	0	0
gbgene1109	0	0	0	0	0	0	0	0
gbgene1110	1428	1213	4293	3483	2134	5337	4217	3420
gbgene1111	3289	1623	1668	3087	1830	1	2995	3239
gbgene1112	139	25	30	25	24	8	52	23
gbgene1113	496	277	242	297	223	155	324	300
gbgene1114	810	486	650	1122	659	773	1129	1353
gbgene1115	1433	538	699	1466	827	206	1304	1394
gbgene1116	6610	3159	2258	1972	4095	2928	2213	6672
gbgene1117	839	892	379	295	159	379	345	313
gbgene1118	22	136	34	147	40	16	150	92
gbgene1119	3	0	4	0	0	0	0	0
gbgene1120	1914	785	1155	2014	1550	853	2584	2293
gbgene1121	6816	2868	4467	6303	4315	3455	7516	6174
gbgene1122	823	311	601	948	503	373	947	888
gbgene1123	37	29	305	210	131	556	304	59
gbgene1124	3031	1738	2033	2752	2048	1548	2979	3098
gbgene1125	3079	1818	1099	1996	1425	95	2425	2074
gbgene1126	637	340	467	330	235	359	429	443
gbgene1127	23348	12309	17028	17604	12649	19977	21076	19685
gbgene1128	930	448	560	903	652	634	1178	1068
gbgene1129	3756	1438	1075	1830	789	111	1049	1584
gbgene1130	879	556	341	709	598	78	915	908
gbgene1131	601	209	107	258	124	0	180	222
gbgene1132	6	1	6	3	4	2	14	2
gbgene1133	203	78	348	430	181	272	270	466
gbgene1134	11	1	2	2	3	1	22	5
gbgene1135	2	2	4	20	6	0	5	24
gbgene1136	11	0	30	98	78	3	48	45
gbgene1137	0	0	0	0	0	0	0	0
gbgene1138	447	233	199	351	322	475	628	88
gbgene1139	276	107	102	94	78	67	146	49
gbgene1140	429	258	21	31	15	11	55	16
gbgene1141	10090	5002	4592	7258	5027	2780	7986	6987
gbgene1142	0	0	0	0	0	0	0	0
gbgene1143	6	14	1	5	6	3	3	17
gbgene1144	240	245	255	258	129	182	368	298
gbgene1145	298	181	176	294	218	125	370	329
gbgene1146	0	0	0	0	0	0	0	0
gbgene1147	4	3	2	17	1	0	3	3
gbgene1148	0	1	0	0	0	0	0	0
gbgene1149	1	3	0	0	0	1	0	2
gbgene1150	13306	8245	3409	5497	5028	1	7765	7894
gbgene1151	1566	787	365	823	625	2	841	965
gbgene1152	0	0	0	0	0	0	0	0
gbgene1153	0	0	0	0	0	0	0	0
gbgene1154	1	0	0	1	0	0	1	0
gbgene1155	3	0	2	6	10	20	4	3
gbgene1156	4992	2143	4395	3669	4457	6964	4946	3265
